Year,Month,Day,Price,Type
2012,7,12,2900,2
2012,7,17,2700,2
2012,7,20,2700,2
2012,7,26,3400,2
2012,7,31,3200,2
2012,8,3,2900,2
2012,8,8,3300,2
2012,8,13,3000,2
2012,8,16,3400,2
2012,8,22,3300,2
2012,8,27,3400,2
2012,8,30,3400,2
2012,9,4,3450,2
2015,12,9,2000,2
2016,1,14,2000,2
2016,2,2,2000,2
2016,2,8,2100,2
2016,2,12,2000,2
2016,2,19,1900,2
2016,3,2,2400,2
2016,3,7,2400,2
2016,3,16,2400,2
2016,3,22,2400,2
2016,3,29,2200,2
2016,4,1,2200,2
2016,4,6,2300,2
2016,4,11,2600,2
2016,4,14,2800,2
2016,5,3,2800,2
2016,5,6,3000,2
2016,5,11,2800,2
2016,5,16,2700,2
2016,5,19,2800,2
2016,5,26,2800,2
2016,5,31,2600,2
2016,6,8,2600,2
2016,6,13,2600,2
2016,6,16,2600,2
2016,6,22,2600,2
2016,7,5,2400,2
2016,7,12,2400,2
2016,7,18,2200,2
2016,7,28,2200,2
2016,8,24,2700,2
2016,8,29,2600,2
2016,9,6,2600,2
2016,9,20,2800,2
2016,9,29,2800,2
2016,10,11,2800,2
2016,10,14,3000,2
2016,10,24,2800,2
2016,11,1,3000,2
2016,11,4,2800,2
2016,11,21,2600,2
2016,11,28,2600,2
2016,12,8,2600,2
2016,12,14,2700,2
2017,1,23,3500,2
2017,2,8,2900,2
2017,2,16,3000,2
2017,2,22,3000,2
2017,3,8,2800,2
2017,3,22,3000,2
2017,3,28,3000,2
2017,4,4,3000,2
2017,4,21,2800,2
2017,6,16,2700,2
2017,6,21,2600,2
2017,6,27,2300,2
2017,6,30,2000,2
2017,7,6,1800,2
2017,7,24,1600,2
2017,7,28,1500,2
2017,8,2,1600,2
2017,8,7,1600,2
2017,8,21,1800,2
2017,8,30,1800,2
2017,9,4,1400,2
2017,9,8,1800,2
2017,10,3,2000,2
2017,10,6,1800,2
2017,10,11,2000,2
2017,10,17,1800,2
2017,10,24,2000,2
2017,11,2,2000,2
2017,11,9,2000,2
2017,11,14,2000,2
2017,11,21,1800,2
2017,11,24,2000,2
2017,11,30,2000,2
2017,12,5,2000,2
2017,12,11,1900,2
2017,12,19,2000,2
2017,12,22,1400,2
2017,12,29,1800,2
2018,1,4,3000,2
2018,1,10,2000,2
2018,1,15,2400,2
2018,1,18,2000,2
2018,2,2,2000,2
2018,2,13,2200,2
2018,2,19,2200,2
2018,2,22,2200,2
2018,2,27,2400,2
2018,3,2,2000,2
2018,3,8,2000,2
2018,3,13,2000,2
2018,3,16,2000,2
2018,3,21,2300,2
2018,3,27,2000,2
2018,4,5,2000,2
2018,4,11,2000,2
2018,4,18,2000,2
2018,4,23,2200,2
2018,4,26,2500,2
2018,5,3,2750,2
2018,5,10,2750,2
2018,5,17,2500,2
2018,5,24,2200,2
2018,6,7,2000,2
2018,6,12,2000,2
2018,6,18,2200,2
2018,6,21,2000,2
2018,6,26,1800,2
2018,7,2,1800,2
2018,7,5,2200,2
2018,7,8,2000,2
2018,7,12,2200,2
2018,7,17,2200,2
2018,7,20,2200,2
2018,7,25,2250,2
2018,8,1,2300,2
2018,8,6,2300,2
2018,8,9,3000,2
2018,8,14,3000,2
2018,8,22,3000,2
2018,8,27,3000,2
2018,9,11,3000,2
2018,9,20,3000,2
2018,9,27,3000,2
2018,10,22,3000,2
2018,11,8,3000,2
2018,11,14,3000,2
2019,1,18,2050,2
2019,3,21,2300,2
2019,4,2,2300,2
2019,5,13,3000,2
2019,5,17,4500,2
2011,6,23,2500,1
2011,7,5,1900,1
2011,6,30,2200,1
2011,6,27,2400,1
2011,7,15,1800,1
2011,7,13,1800,1
2011,7,8,1900,1
2011,7,28,1700,1
2011,7,25,1700,1
2011,7,20,1800,1
2011,8,5,1720,1
2011,8,2,1700,1
2011,8,19,2200,1
2011,8,17,2200,1
2011,8,11,1900,1
2011,9,1,2500,1
2011,8,29,2500,1
2011,8,23,2200,1
2011,9,13,2700,1
2011,9,8,2700,1
2011,9,2,2550,1
2011,9,23,2760,1
2011,9,20,2700,1
2011,9,16,2700,1
2011,10,5,3200,1
2011,9,30,1860,1
2011,9,27,2800,1
2011,10,14,2920,1
2011,10,11,2900,1
2011,10,7,3200,1
2011,11,4,3600,1
2011,10,26,3600,1
2011,10,21,3350,1
2011,11,16,3700,1
2011,11,11,3600,1
2011,11,9,3600,1
2011,11,25,3360,1
2011,11,24,3300,1
2011,11,21,3300,1
2011,12,13,3600,1
2011,12,6,3600,1
2011,12,1,3500,1
2011,12,14,3600,1
2011,12,28,3600,1
2012,1,5,4400,1
2012,1,18,4500,1
2012,1,13,4740,1
2012,1,10,4700,1
2012,1,31,4000,1
2012,1,26,4200,1
2012,1,23,4400,1
2012,2,10,4000,1
2012,2,7,4600,1
2012,2,2,4000,1
2012,2,22,4000,1
2012,2,17,3900,1
2012,2,14,4000,1
2012,3,5,400,1
2012,2,29,3900,1
2012,2,27,3800,1
2012,3,15,4800,1
2012,3,12,4800,1
2012,3,7,3800,1
2012,3,28,5000,1
2012,3,23,5000,1
2012,3,16,4800,1
2012,4,5,4175,1
2012,4,4,4200,1
2012,4,2,4000,1
2012,4,13,4600,1
2012,4,17,4700,1
2012,4,12,4400,1
2012,5,5,5300,1
2012,4,26,5200,1
2012,5,17,5000,1
2012,5,10,5400,1
2012,5,10,5400,1
2012,5,7,5400,1
2012,5,29,3800,1
2012,5,28,3800,1
2012,5,22,5100,1
2012,6,14,4000,1
2012,6,8,4200,1
2012,6,5,3300,1
2012,6,28,3000,1
2012,6,26,3200,1
2012,6,21,3600,1
2012,6,15,4000,1
2012,7,10,3400,1
2012,7,6,2800,1
2012,7,3,2900,1
2012,7,26,3200,1
2012,7,20,2800,1
2012,7,17,2800,1
2012,8,10,3500,1
2012,8,7,2800,1
2012,8,2,2900,1
2012,7,30,3000,1
2012,8,23,3000,1
2012,8,17,3000,1
2012,8,14,3000,1
2012,9,4,3250,1
2012,8,30,3250,1
2015,10,27,2900,1
2016,2,8,2200,1
2016,2,2,2200,1
2016,1,14,2100,1
2016,3,3,2500,1
2016,2,19,2000,1
2016,2,12,2100,1
2016,3,24,2200,1
2016,3,18,2200,1
2016,3,15,2500,1
2016,3,1,2500,1
2016,4,7,2500,1
2016,4,4,2400,1
2016,3,30,2300,1
2016,5,6,3200,1
2016,5,3,3000,1
2016,4,14,3000,1
2016,5,24,3000,1
2016,5,18,2800,1
2016,5,13,3000,1
2016,5,10,3000,1
2016,6,9,2700,1
2016,6,6,2700,1
2016,5,27,3000,1
2016,7,5,2500,1
2016,6,22,2800,1
2016,6,16,2700,1
2016,8,22,2500,1
2016,7,27,2300,1
2016,7,15,2300,1
2016,9,20,3000,1
2016,9,6,2400,1
2016,8,29,2400,1
2016,8,24,2400,1
2016,10,13,3000,1
2016,10,10,3000,1
2016,9,27,3000,1
2016,11,16,2700,1
2016,11,2,3000,1
2016,10,27,3000,1
2016,12,14,2800,1
2016,12,8,2700,1
2016,11,28,2700,1
2016,11,21,2700,1
2016,12,23,2600,1
